Quality,Block Size,Avg Compression Time,Avg Saving Time,Avg Opening Time,MSE,PSNR,Compressed Size
1,1,6.801079750061035,0.0544431209564209,7.535947799682617,105.60469818115234,27.893971211856297,0
1,2,2.386890411376953,0.0759732723236084,1.9635655879974365,105.8302001953125,27.88470743200794,8
1,3,1.060485601425171,0.06582474708557129,0.9085366725921631,92.95804595947266,28.4479337488725,6
1,4,0.6131229400634766,0.06276917457580566,0.5235707759857178,94.9124641418457,28.357571120593924,5
1,5,0.4447808265686035,0.06383013725280762,0.4328799247741699,95.37460327148438,28.3364761643041,5
1,6,0.3601233959197998,0.06282997131347656,0.2603416442871094,82.86030578613281,28.947338291903918,5
1,7,0.26436614990234375,0.06092953681945801,0.20967793464660645,78.1102523803711,29.20372319820337,5
1,8,0.20844149589538574,0.03889727592468262,0.15858078002929688,77.89570236206055,29.215668632971266,5
1,9,0.17841863632202148,0.0388951301574707,0.13866281509399414,71.23819351196289,29.603674629589825,5
1,10,0.16175031661987305,0.04191756248474121,0.11955904960632324,65.62767028808594,29.95993373325707,5
1,11,0.14957284927368164,0.041887521743774414,0.10671591758728027,67.37492752075195,29.8458204986947,5
1,12,0.1376340389251709,0.03989148139953613,0.0958099365234375,66.2258415222168,29.920528753462342,5
1,13,0.13176655769348145,0.039938926696777344,0.09307861328125,64.18730545043945,30.056312162565067,5
1,14,0.1625986099243164,0.039904117584228516,0.12589716911315918,64.66750717163086,30.023942409517417,5
1,15,0.11968064308166504,0.04089021682739258,0.07878828048706055,62.23725128173828,30.190299571487156,5
1,16,0.10871052742004395,0.03790116310119629,0.06782126426696777,60.74541091918945,30.295668866264222,5
1,17,0.11469388008117676,0.04146575927734375,0.07398748397827148,58.99555969238281,30.42261035220087,5
1,18,0.10425281524658203,0.04288530349731445,0.068817138671875,59.82125473022461,30.362248428998257,5
1,19,0.10172700881958008,0.039893388748168945,0.06781864166259766,59.528053283691406,30.38358680600293,5
1,20,0.09574532508850098,0.03989386558532715,0.06087303161621094,61.06338882446289,30.272994582697457,5
1,21,0.09973359107971191,0.04191946983337402,0.06379437446594238,60.87686538696289,30.286280788036994,5
1,22,0.1017298698425293,0.04257512092590332,0.0607609748840332,59.26705551147461,30.40267009584417,5
1,23,0.09976625442504883,0.043884992599487305,0.06389832496643066,59.567039489746094,30.380743448754473,5
1,24,0.1036834716796875,0.04288625717163086,0.056817054748535156,59.560977935791016,30.381185410182795,5
1,25,0.0927886962890625,0.04185342788696289,0.05585026741027832,59.88512420654297,30.35761406214068,5
1,26,0.09010076522827148,0.042394399642944336,0.0570065975189209,60.738739013671875,30.296145895037863,5
1,27,0.08776569366455078,0.04288649559020996,0.055881500244140625,60.3094596862793,30.326949232329472,5
1,28,0.09474778175354004,0.043885231018066406,0.05684614181518555,59.12841796875,30.412841016326052,5
1,29,0.09674191474914551,0.041855573654174805,0.05884361267089844,61.6468505859375,30.231694666042273,5
1,30,0.09876823425292969,0.04485034942626953,0.05585050582885742,60.59297180175781,30.306581077367156,5
1,31,0.09378337860107422,0.0438542366027832,0.05687975883483887,61.498775482177734,30.242138923547305,5
